# fs=395.7 rpm=10634
timestamp_ms,az,current_A,rpm
1650,11.5326,0.1350,10140
1652,8.1984,0.0870,10140
1655,7.1392,0.1436,10140
1657,11.7288,0.0375,10140
1660,11.5718,0.0669,10140
1662,10.5520,-0.0558,10140
1665,6.5901,0.0281,10140
1667,8.1199,-0.1090,10140
1670,11.1011,0.0266,10140
1672,11.6895,-0.0103,10140
1675,8.8652,0.1419,10140
1677,7.8453,0.0929,10140
1680,10.5520,0.1734,10140
1682,11.4934,0.0707,10140
1685,11.2973,0.0533,10140
1687,7.4923,-0.0393,10140
1690,9.0221,-0.0180,10140
1692,11.7288,-0.0332,10140
1695,12.1602,-0.0435,10140
1698,8.6299,-0.0660,10140
1700,6.7470,0.1135,10140
1703,9.9636,0.1413,10140
1705,12.5917,0.1041,10140
1708,11.1404,0.0876,10140
1710,7.7276,0.0892,10140
1713,7.8845,0.0318,10140
1715,10.0420,0.0202,10140
1718,12.1995,-0.0334,10140
1720,9.7674,0.0105,10140
1723,7.4531,0.0681,10140
1725,8.6691,0.0472,10140
1728,11.9641,0.0732,10140
1730,12.0033,0.0880,10140
1733,8.8260,0.0902,10140
1735,7.6100,-0.0248,10140
1738,8.8652,-0.0384,10140
1740,12.8663,-0.1067,10140
1743,10.7089,-0.0446,10140
1746,7.9630,-0.1271,10140
1748,8.4729,-0.0854,10140
1751,10.7089,-0.0317,10140
1753,12.1210,0.0675,10140
1756,9.0221,-0.0259,10140
1758,7.1392,0.0130,10140
1761,8.1984,-0.0807,10140
1763,12.6310,-0.0336,10140
1766,11.0619,-0.1647,10140
1768,8.7475,-0.1370,10140
1771,7.6492,-0.1762,10140
1773,12.7879,-0.0311,10140
1776,9.8851,-0.1136,10140
1778,8.6691,0.0031,10140
1781,8.0022,-0.0427,10140
1783,11.8857,0.0281,10140
1786,11.5326,-0.0489,10140
1788,9.1006,-0.0138,10140
1791,7.6100,-0.1302,10140
1794,9.0613,-0.0326,10140
1796,13.1801,-0.1639,10140
1799,9.5321,-0.0474,10140
1801,9.0613,-0.0791,10140
1804,7.1785,0.1043,10140
1806,11.2973,0.0551,10140
1809,11.8464,0.1347,10140
1811,9.0613,0.0006,10140
1814,7.7669,0.0832,10140
1816,8.0022,-0.0988,10140
1819,12.3172,-0.0176,10140
1821,10.1597,-0.1015,10140
1824,9.4144,0.0422,10140
1826,6.9823,-0.0147,10140
1829,10.0420,0.1525,10140
1831,12.5133,0.1542,10140
1834,9.6105,0.1145,10140
1836,8.4337,0.0637,10140
1839,7.9630,0.0473,10140
1842,12.7879,0.0119,10140
1844,11.8072,0.0784,10140
1847,10.1989,-0.0127,10140
1849,7.0216,0.1033,10140
1852,9.2183,0.1012,10140
1854,12.5525,0.1381,10140
1857,10.1989,0.1243,10140
1859,8.7083,0.2066,10140
1862,6.4332,0.1368,10140
1864,11.4149,0.0775,10140
1867,11.5326,-0.0174,10140
1869,10.1597,-0.0092,10140
1872,6.8647,-0.0133,10140
1874,7.6100,-0.0515,10140
1877,11.6895,-0.0257,10140
1879,11.0619,0.0373,10140
1882,9.5321,0.1295,10140
1885,6.6293,0.0268,10140
1887,10.6696,0.0578,10140
1890,11.3757,-0.0577,10140
1892,10.2774,-0.0009,10140
1895,7.3746,-0.1298,10140
1897,6.9823,-0.1001,10140
1900,11.7680,-0.1246,10560
1902,11.4542,-0.0082,10560
1905,9.9636,-0.0628,10560
1907,6.6685,0.0281,10560
1910,9.7674,0.0033,10560
1912,11.5326,0.0476,10560
1915,11.3757,-0.0526,10560
1917,8.0415,-0.0234,10560
1920,6.7077,-0.1221,10560
1922,10.9834,-0.0250,10560
1925,10.3558,-0.1679,10560
1927,6.5116,-0.0430,10560
1930,7.8845,-0.0584,10560
1933,11.2188,0.0893,10560
1935,12.1210,0.0514,10560
1938,9.2967,0.1460,10560
1940,6.9039,0.0311,10560
1943,9.6890,0.1052,10560
1945,11.8857,-0.0566,10560
1948,11.9249,0.0202,10560
1950,8.0415,-0.0772,10560
1953,7.8061,0.0570,10560
1955,11.2188,-0.0355,10560
1958,11.9641,0.1212,10560
1960,9.6105,0.0949,10560
1963,7.3746,0.1353,10560
1965,9.1006,0.0670,10560
1968,12.0033,0.1194,10560
1970,11.4542,0.0548,10560
1973,8.1591,0.0182,10560
1975,7.6100,-0.0246,10560
1978,10.0028,-0.0114,10560
1981,12.7094,0.0534,10560
1983,10.0420,0.0138,10560
1986,7.0216,0.0467,10560
1988,9.0221,0.0656,10560
1991,11.9641,0.0731,10560
1993,12.0033,-0.0388,10560
1996,8.4729,-0.0796,10560
1998,6.7862,-0.1202,10560
2001,7.7669,-0.0848,10560
2003,12.2387,-0.1567,10560
2006,11.2973,-0.1080,10560
2008,8.4729,-0.0483,10560
2011,8.1591,0.0776,10560
2013,9.8067,-0.0036,10560
2016,12.7094,0.0392,10560
2018,10.0420,-0.0787,10560
2021,8.0022,-0.0038,10560
2023,7.2569,-0.1557,10560
2026,12.2779,-0.0869,10560
2029,11.6503,-0.1669,10560
2031,9.1006,-0.0102,10560
2034,7.8845,-0.1037,10560
2036,7.6100,0.0305,10560
2039,13.3370,-0.0227,10560
2041,11.0619,0.0608,10560
2044,10.1597,-0.0263,10560
2046,7.3746,0.0126,10560
2049,9.8067,-0.1006,10560
2051,12.1602,-0.0277,10560
2054,10.0812,-0.1603,10560
2056,8.1984,-0.0288,10560
2059,8.1591,-0.0417,10560
2061,12.3956,0.1139,10560
2064,10.7089,0.0711,10560
2066,7.4923,0.1666,10560
2069,9.2183,0.0976,10560
2071,12.9056,0.0572,10560
2074,10.3558,-0.0373,10560
2077,8.8652,-0.0012,10560
2079,7.4923,-0.0039,10560
2082,11.7680,0.0108,10560
2084,11.4149,0.0004,10560
2087,10.2774,0.1817,10560
2089,6.6685,0.2038,10560
2092,8.4337,0.1423,10560
2094,12.4348,0.1050,10560
2097,10.9050,0.0791,10560
2099,10.0420,0.0572,10560
2102,7.3746,-0.0222,10560
2104,10.4735,-0.0401,10560
2107,11.3757,-0.0285,10560
2109,10.0812,0.0722,10560
2112,7.6492,0.0115,10560
2114,7.6884,0.0866,10560
2117,11.9641,0.0367,10560
