# fs=395.9 rpm=0
timestamp_ms,az,current_A,rpm
1650,9.9243,0.0048,0
1652,10.0420,0.0083,0
1655,9.8459,0.0092,0
1657,9.8459,0.0009,0
1660,9.8851,-0.0068,0
1662,10.0420,-0.0043,0
1665,10.1989,0.0031,0
1667,10.0028,0.0127,0
1670,10.0420,0.0143,0
1672,10.1597,0.0065,0
1675,9.7282,0.0025,0
1677,9.6497,-0.0022,0
1680,9.6890,-0.0042,0
1682,9.8459,0.0038,0
1685,9.8851,0.0107,0
1687,9.9636,0.0074,0
1690,9.7282,0.0104,0
1692,9.8459,0.0143,0
1695,9.8851,0.0111,0
1697,9.9243,0.0090,0
1700,9.8067,0.0060,0
1703,9.7674,0.0099,0
1705,10.1205,0.0126,0
1708,9.9243,0.0005,0
1710,9.8459,0.0052,0
1713,10.0028,-0.0019,0
1715,9.7674,0.0019,0
1718,9.6105,0.0065,0
1720,9.8067,0.0044,0
1723,9.7674,0.0027,0
1725,9.9636,-0.0053,0
1728,10.0420,-0.0030,0
1730,10.0812,-0.0082,0
1733,9.9243,-0.0054,0
1735,9.6497,-0.0024,0
1738,9.7674,-0.0031,0
1740,9.7282,-0.0096,0
1743,9.8067,-0.0099,0
1745,9.7282,-0.0160,0
1748,9.8067,-0.0094,0
1751,9.8067,-0.0012,0
1753,9.8851,0.0031,0
1756,9.9243,0.0094,0
1758,9.8459,0.0076,0
1761,10.0812,-0.0031,0
1763,9.8459,-0.0024,0
1766,9.8067,0.0015,0
1768,9.7282,0.0080,0
1771,10.0028,0.0103,0
1773,10.1989,0.0116,0
1776,10.1989,-0.0016,0
1778,9.9243,0.0034,0
1781,9.8851,0.0019,0
1783,9.9636,0.0064,0
1786,9.8851,0.0024,0
1788,10.0420,0.0127,0
1791,9.9636,0.0196,0
1793,9.8851,0.0090,0
1796,9.8067,0.0060,0
1799,10.0420,-0.0006,0
1801,10.1989,-0.0042,0
1804,10.1989,0.0072,0
1806,9.9636,0.0148,0
1809,9.9243,0.0083,0
1811,9.8851,0.0086,0
1814,9.9243,-0.0003,0
1816,10.0028,-0.0085,0
1819,9.6890,-0.0077,0
1821,9.4536,-0.0043,0
1824,9.4928,0.0031,0
1826,9.5713,0.0016,0
1829,9.8459,0.0120,0
1831,9.9636,0.0190,0
1834,9.9636,0.0209,0
1836,10.0028,0.0220,0
1839,9.7282,0.0183,0
1841,9.7282,0.0092,0
1844,9.8067,0.0185,0
1847,9.6497,0.0114,0
1849,9.8851,0.0067,0
1852,9.7282,0.0164,0
1854,9.7282,0.0168,0
1857,9.9636,0.0106,0
1859,10.1597,0.0132,0
1862,9.9636,0.0082,0
1864,9.6105,0.0033,0
1867,9.5713,0.0011,0
1869,10.0420,0.0103,0
1872,10.2381,0.0077,0
1874,10.3950,0.0048,0
1877,9.9636,0.0050,0
1879,9.7282,0.0038,0
1882,9.9243,0.0100,0
1884,9.7282,0.0094,0
1887,9.6497,0.0122,0
1889,9.8459,0.0034,0
1892,10.0420,0.0018,0
1895,10.1597,-0.0047,0
1897,10.2381,0.0067,0
1900,10.1205,0.0059,0
1902,9.8067,-0.0039,0
1905,9.8459,-0.0116,0
1907,9.5713,-0.0135,0
1910,9.6105,-0.0021,0
1912,9.6497,-0.0074,0
1915,9.6105,-0.0067,0
1917,9.7674,-0.0022,0
1920,10.0028,-0.0016,0
1922,10.0028,0.0021,0
1925,9.6497,0.0092,0
1927,9.6497,0.0120,0
1930,9.6105,0.0111,0
1932,9.6105,-0.0001,0
1935,9.7674,0.0034,0
1937,9.7674,0.0058,0
1940,9.6890,0.0012,0
1943,9.8459,0.0111,0
1945,9.7282,0.0083,0
1948,9.6890,0.0086,0
1950,9.6890,0.0095,0
1953,9.3752,0.0103,0
1955,9.6105,0.0051,0
1958,9.4536,0.0006,0
1960,9.7674,-0.0025,0
1963,9.8851,0.0027,0
1965,10.1989,0.0091,0
1968,10.1597,0.0047,0
1970,9.7674,0.0082,0
1973,9.7674,0.0033,0
1975,9.6497,-0.0061,0
1978,9.8067,-0.0043,0
1980,9.9636,0.0064,0
1983,10.0028,0.0076,0
1985,10.1989,0.0139,0
1988,10.1989,0.0127,0
1991,10.1597,0.0124,0
1993,9.8851,0.0153,0
1996,9.9243,0.0126,0
1998,9.8459,0.0064,0
2001,10.0812,0.0057,0
2003,9.8851,-0.0041,0
2006,9.8851,-0.0137,0
2008,10.1205,-0.0107,0
2011,10.0028,0.0022,0
2013,10.2381,-0.0024,0
2016,9.9243,-0.0025,0
2018,10.0028,-0.0117,0
2021,9.6105,-0.0090,0
2023,9.7282,-0.0029,0
2026,10.0028,-0.0002,0
2028,9.9636,0.0105,0
2031,10.0420,0.0046,0
2033,10.0420,0.0107,0
2036,9.5713,0.0126,0
2039,9.5321,0.0201,0
2041,9.4536,0.0134,0
2044,9.8067,0.0280,0
2046,9.9243,0.0332,0
2049,9.7282,0.0330,0
2051,9.9243,0.0316,0
2054,9.8067,0.0362,0
2056,9.9636,0.0376,0
2059,9.8067,0.0256,0
2061,9.5713,0.0188,0
2064,9.8067,0.0155,0
2066,9.8459,0.0148,0
2069,9.6890,0.0128,0
2071,9.7282,0.0091,0
2074,9.8459,0.0041,0
2076,9.8067,0.0083,0
2079,9.9243,-0.0032,0
2081,9.7674,-0.0031,0
2084,9.9243,-0.0226,0
2087,9.6890,-0.0249,0
2089,9.7674,-0.0170,0
2092,10.0028,-0.0201,0
2094,10.0028,-0.0162,0
2097,10.0028,-0.0044,0
2099,9.8851,-0.0100,0
2102,9.9636,-0.0089,0
2104,9.6497,-0.0106,0
2107,9.7282,-0.0101,0
2109,9.8067,-0.0116,0
2112,9.8067,-0.0109,0
2114,10.0028,-0.0195,0
2117,9.8459,-0.0229,0
2119,10.0028,-0.0120,0
2122,9.6890,-0.0158,0
2124,9.6497,-0.0060,0
2127,9.6890,-0.0095,0
2129,9.5713,-0.0039,0
2132,9.8067,-0.0031,0
2135,10.0812,-0.0024,0
2137,9.8459,-0.0057,0
2140,9.8851,-0.0065,0
2142,9.8067,0.0045,0
2145,9.7674,0.0047,0
2147,9.8459,-0.0003,0
2150,9.8067,0.0006,0
2152,9.5713,0.0040,0
2155,9.7674,-0.0022,0
2157,10.0028,-0.0062,0
2160,9.9636,0.0008,0
2162,10.0420,-0.0036,0
2165,10.0028,-0.0087,0
2167,10.0028,-0.0085,0
2170,10.0812,-0.0050,0
2172,9.9636,-0.0007,0
2175,9.6497,-0.0076,0
2177,9.8459,-0.0160,0
2180,9.9636,-0.0075,0
2183,9.8067,-0.0120,0
2185,9.4928,-0.0060,0
2188,9.6497,0.0023,0
2190,9.7674,0.0048,0
2193,9.8851,0.0030,0
2195,10.0028,-0.0011,0
2198,10.1989,-0.0027,0
2200,9.8851,-0.0040,0
2203,9.8459,0.0054,0
2205,9.6497,0.0081,0
2208,9.6497,0.0110,0
2210,9.6497,0.0194,0
2213,9.8067,0.0102,0
2215,9.6497,0.0135,0
2218,9.6890,0.0130,0
2220,9.9243,0.0198,0
2223,9.9636,0.0216,0
2225,10.0028,0.0291,0
2228,9.6105,0.0269,0
2231,9.6105,0.0264,0
2233,9.6890,0.0240,0
2236,9.8851,0.0193,0
2238,9.8851,0.0180,0
2241,10.0028,0.0136,0
2243,10.0028,0.0052,0
2246,10.1205,0.0165,0
2248,10.0812,0.0051,0
2251,9.8459,0.0059,0
2253,9.9243,0.0046,0
2256,10.2381,0.0139,0
2258,9.8067,0.0140,0
2261,9.6890,0.0200,0
2263,9.6890,0.0153,0
2266,9.7282,0.0152,0
2268,9.5321,0.0151,0
2271,9.8459,0.0111,0
