# fs=395.8 rpm=10760
timestamp_ms,az,current_A,rpm
1650,3.4912,-0.0989,10140
1652,15.2984,0.0012,10140
1655,5.6486,-0.1240,10140
1657,6.0409,-0.0920,10140
1660,13.3763,0.1143,10140
1662,4.7072,0.0564,10140
1665,20.7901,0.1430,10140
1667,2.7066,-0.0172,10140
1670,15.2591,-0.0868,10140
1672,3.9619,-0.0068,10140
1675,6.9823,-0.1184,10140
1677,14.0431,0.0154,10140
1680,6.1586,-0.0186,10140
1682,20.2017,-0.0115,10140
1685,2.2359,0.1024,10140
1687,15.6122,-0.0335,10140
1690,3.4127,0.0183,10140
1692,8.7083,-0.0984,10140
1695,14.0823,-0.1944,10140
1698,6.0017,-0.0381,10140
1700,17.9658,-0.0895,10140
1703,0.3923,0.0334,10140
1705,14.9846,0.0308,10140
1708,2.5497,-0.0460,10140
1710,12.1995,0.0149,10140
1713,14.2000,-0.0817,10140
1715,6.2763,-0.0900,10140
1718,17.2597,0.0180,10140
1720,-0.0392,-0.0706,10140
1723,16.0045,0.0906,10140
1725,3.5304,0.0676,10140
1728,15.0238,0.0487,10140
1730,12.4348,0.0339,10140
1733,15.6514,-0.1289,10140
1735,-1.1376,-0.0706,10140
1738,16.3967,-0.1015,10140
1740,4.5503,-0.0441,10140
1743,16.0829,0.1485,10140
1746,11.4149,0.0547,10140
1748,6.0801,0.0776,10140
1751,14.8277,0.0709,10140
1753,0.0392,-0.0831,10140
1756,18.3973,0.0173,10140
1758,5.0602,-0.0686,10140
1761,15.2199,-0.0468,10140
1763,7.8061,0.1494,10140
1766,5.0995,0.0549,10140
1768,13.0232,0.1254,10140
1771,1.3729,-0.0185,10140
1773,20.7509,-0.1172,10140
1776,3.7658,-0.0372,10140
1778,15.4553,-0.1364,10140
1781,6.4724,-0.0013,10140
1783,5.3348,-0.0425,10140
1786,12.5133,-0.0050,10140
1788,3.8442,0.1117,10140
1791,20.2409,-0.0085,10140
1794,2.8243,0.0362,10140
1796,15.6906,-0.0832,10140
1799,4.1580,-0.2154,10140
1801,7.2569,-0.0585,10140
1804,14.0431,-0.0847,10140
1806,5.9624,0.0068,10140
1809,19.6133,0.0238,10140
1811,1.7652,-0.0408,10140
1814,15.4161,0.0154,10140
1816,2.8635,-0.0846,10140
1819,10.9442,-0.1016,10140
1821,14.0431,0.0022,10140
1824,5.9232,-0.0977,10140
1826,17.2989,0.0513,10140
1829,-0.5884,0.0440,10140
1831,14.9846,0.0561,10140
1834,3.4127,0.0297,10140
1836,14.3569,-0.1233,10140
1839,12.2387,-0.0888,10140
1842,5.4917,-0.1143,10140
1844,15.6122,-0.0817,10140
1847,-1.2160,0.0962,10140
1849,16.9459,0.0077,10140
1852,4.9426,0.0409,10140
1854,15.8083,0.0351,10140
1857,9.8459,-0.1135,10140
1859,5.0995,-0.0203,10140
1862,13.2978,-0.1182,10140
1864,-0.1177,-0.0890,10140
1867,19.5741,0.0999,10140
1869,5.0210,0.0225,10140
1872,15.7299,0.1097,10140
1874,8.7868,-0.0514,10140
1877,4.9033,-0.1165,10140
1879,13.6116,-0.0333,10140
1882,20.5155,-0.1423,10140
1884,4.3934,0.0277,10140
1887,15.9260,-0.0440,10140
1890,6.8254,0.0061,10140
1892,5.1779,0.1219,10140
1895,12.7486,0.0047,10140
1897,2.9420,0.0370,10140
1900,20.9862,-0.0610,10560
1902,3.7658,-0.1926,10560
1905,16.3183,-0.0614,10560
1907,4.9033,-0.0681,10560
1910,6.7077,0.0379,10560
