# fs=395.8 rpm=11103
timestamp_ms,az,current_A,rpm
1650,13.6116,-0.1193,10328
1652,8.9044,-0.0351,10328
1655,9.5321,-0.1433,10328
1657,7.2569,0.0033,10328
1660,13.1409,0.0220,10328
1662,10.9050,0.0608,10328
1665,9.0221,0.0742,10328
1667,7.4531,0.1281,10328
1670,9.8067,0.1228,10328
1672,13.9647,-0.0136,10328
1675,8.9044,-0.0308,10328
1677,9.6105,-0.1279,10328
1680,7.1392,-0.0450,10328
1682,12.9840,-0.1667,10328
1685,10.3166,-0.0245,10328
1687,8.3553,-0.0264,10328
1690,7.3746,0.0569,10328
1692,10.0028,0.0604,10328
1695,12.5917,0.1568,10328
1698,8.3553,0.1140,10328
1700,9.0221,0.0292,10328
1703,7.2569,-0.0683,10328
1705,13.4547,-0.0813,10328
1708,9.8459,-0.0649,10328
1710,8.3945,-0.1176,10328
1713,8.7868,-0.0566,10328
1715,10.6304,-0.0491,10328
1718,12.7879,0.0833,10328
1720,7.5315,-0.0007,10328
1723,8.1984,0.0741,10328
1725,7.6884,-0.0524,10328
1728,13.6901,0.0237,10328
1730,9.6497,-0.1455,10328
1733,8.1199,-0.0489,10328
1735,10.6696,-0.0851,10328
1738,12.0426,-0.0844,10328
1740,7.2569,-0.0604,10328
1743,8.3553,0.0287,10328
1746,9.3359,0.1220,10328
1748,13.1801,0.0498,10328
1751,8.7083,0.0628,10328
1753,7.7669,-0.0489,10328
1756,9.1790,-0.0086,10328
1758,11.7288,-0.1253,10328
1761,12.1210,-0.0814,10328
1763,7.3354,-0.1264,10328
1766,9.3359,0.0261,10328
1768,9.6497,-0.0683,10328
1771,12.9840,0.0762,10328
1773,9.0221,0.0500,10328
1776,7.2177,0.1323,10328
1778,9.9243,0.0624,10328
1781,12.3564,0.1272,10328
1783,11.1404,0.0489,10328
1786,6.6293,-0.0496,10328
1788,9.9243,-0.0550,10328
1791,10.4735,-0.0700,10328
1794,12.7486,0.0545,10328
1796,7.2569,-0.0148,10328
1799,7.5315,0.0622,10328
1801,10.5520,0.0335,10328
1804,11.7680,0.0902,10328
1806,11.1404,-0.0158,10328
1809,6.8254,0.0130,10328
1811,10.1205,-0.1011,10328
1814,10.4735,0.0006,10328
1816,12.7879,-0.1175,10328
1819,7.9238,0.0109,10328
1821,7.1392,0.0076,10328
1824,9.6497,0.0727,10328
1826,11.8072,0.0732,10328
1829,12.3956,0.1474,10328
1831,6.5116,0.1478,10328
1834,9.0613,-0.0080,10328
1836,10.2381,-0.0124,10328
1839,12.5917,-0.1213,10328
1842,7.9238,-0.0421,10328
1844,7.9238,-0.1577,10328
1847,10.3558,-0.0174,10328
1849,11.4149,-0.0355,10328
1852,11.0227,0.1381,10328
1854,6.0409,0.0948,10328
1857,10.1989,0.1985,10328
1859,9.9636,0.1167,10328
1862,12.5917,0.0557,10328
1864,8.0415,-0.0706,10328
1867,7.7669,-0.0591,10328
1869,10.9050,-0.0630,10328
1872,11.5718,-0.1127,10328
1874,7.1785,-0.0629,10328
1877,10.7089,-0.0205,10328
1879,10.8265,0.1377,10328
1882,13.0625,0.0553,10328
1884,7.9238,0.1355,10328
1887,7.7669,0.0115,10328
1890,10.7873,0.0813,10328
1892,11.1011,-0.0946,10328
1895,11.1796,0.0029,10328
1897,6.4332,-0.0672,10328
1900,10.0812,-0.0314,11520
1902,10.2774,-0.0473,11520
1905,12.1995,0.1659,11520
1907,6.9823,0.2197,11520
1910,7.8061,0.1243,11520
1912,11.1796,0.1223,11520
1915,11.1404,-0.0016,11520
1917,10.9050,0.0544,11520
1920,5.8448,-0.1070,11520
1922,11.0227,-0.0338,11520
1925,10.4343,-0.1239,11520
1927,11.3365,0.0427,11520
1930,6.8254,-0.0255,11520
1933,8.3945,0.1504,11520
1935,11.8464,0.1785,11520
1938,10.8265,0.1657,11520
1940,10.0812,0.1215,11520
1943,6.1978,0.0866,11520
1945,12.3956,0.0634,11520
1948,10.3558,-0.0484,11520
1950,11.8857,-0.0533,11520
1953,6.9039,-0.0731,11520
1955,8.6691,0.0571,11520
1958,11.6895,-0.0107,11520
1960,10.1597,0.0866,11520
1963,9.1398,0.0295,11520
1965,6.6685,0.1057,11520
1968,12.8271,0.0326,11520
1970,9.9243,0.0810,11520
1973,11.0619,0.0031,11520
1975,6.0017,-0.0056,11520
1978,10.1205,-0.0352,11520
1981,11.8464,-0.0394,11520
1983,9.6890,0.0811,11520
1986,8.0022,0.0098,11520
1988,7.1392,0.0968,11520
1991,13.6901,0.0623,11520
1993,9.8459,0.1258,11520
1996,10.5520,0.0229,11520
1998,5.9624,0.0563,11520
2001,12.0818,-0.0426,11520
2003,11.6503,0.0287,11520
2006,9.7674,-0.0687,11520
2008,8.0415,0.0771,11520
2011,8.2768,0.1220,11520
2013,14.2393,0.1229,11520
