# fs=395.8 rpm=11192
timestamp_ms,az,current_A,rpm
1650,9.8459,0.0675,10328
1652,13.0625,-0.0554,10328
1655,9.1790,0.0583,10328
1657,7.6100,0.0929,10328
1660,8.1199,0.0923,10328
1662,12.9448,0.1420,10328
1665,10.9050,0.1432,10328
1667,8.0415,0.2010,10328
1670,9.9243,0.1096,10328
1672,12.5133,0.1365,10328
1675,11.6111,0.0673,10328
1677,8.0807,-0.0119,10328
1680,9.2967,-0.0295,10328
1682,11.5718,-0.0869,10328
1685,11.3757,0.0531,10328
1687,7.8061,-0.0174,10328
1690,7.8061,0.1233,10328
1692,12.2387,0.1782,10328
1695,11.0227,0.1112,10328
1698,9.6497,0.0954,10328
1700,7.2177,-0.0174,10328
1703,13.0625,0.0136,10328
1705,11.4934,-0.1536,10328
1708,9.6890,-0.0872,10328
1710,7.2177,-0.1667,10328
1713,11.5718,-0.0741,10328
1715,11.4542,-0.0700,10328
1718,9.4928,0.0498,10328
1720,7.4531,0.1693,10328
1723,9.2967,0.0337,10328
1725,12.1995,0.0818,10328
1728,8.7868,-0.0302,10328
1730,7.5315,-0.0052,10328
1733,9.8067,-0.1251,10328
1735,11.9641,-0.1473,10328
1738,9.7282,-0.1047,10328
1740,6.3939,-0.1953,10328
1743,10.1597,-0.0697,10328
1746,12.0818,-0.1146,10328
1748,10.3950,0.0877,10328
1751,6.1586,0.0343,10328
1753,9.4536,0.1202,10328
1756,11.4934,0.1004,10328
1758,10.6304,-0.0072,10328
1761,7.1785,-0.0418,10328
1763,8.3160,-0.1281,10328
1766,12.4741,-0.0558,10328
1768,9.3752,-0.1929,10328
1771,8.3945,-0.0331,10328
1773,8.1984,-0.0246,10328
1776,13.3370,0.0531,10328
1778,10.2381,0.0852,10328
1781,7.7669,0.0995,10328
1783,12.8271,0.1553,10328
1786,10.8658,0.0689,10328
1788,8.6299,0.1143,10328
1791,8.1984,0.0353,10328
1794,11.0619,-0.0292,10328
1796,11.8857,-0.0874,10328
1799,8.1984,-0.0825,10328
1801,7.6100,0.0078,10328
1804,11.4934,-0.0356,10328
1806,11.7680,0.0732,10328
1809,8.8260,0.1043,10328
1811,6.5508,0.1627,10328
1814,11.6111,0.0784,10328
1816,11.2188,0.1106,10328
1819,9.5713,0.0714,10328
1821,6.7077,-0.0521,10328
1824,12.2387,-0.0435,10328
1826,11.5326,-0.1190,10328
1829,10.0812,0.0428,10328
1831,6.8254,-0.0039,10328
1834,9.1398,0.1354,10328
1836,12.8271,0.2375,10328
1839,9.8459,0.1198,10328
1842,8.3553,0.1334,10328
1844,8.7475,-0.0119,10328
1847,13.2194,0.0574,10328
1849,9.7674,-0.0927,10328
1852,8.0415,-0.0107,10328
1854,7.6492,-0.0676,10328
1857,12.4741,-0.0782,10328
1859,10.7873,-0.0440,10328
1862,8.2376,-0.0202,10328
1864,8.9044,0.1340,10328
1867,11.5718,0.0318,10328
1869,11.8464,0.0939,10328
1872,8.4729,0.0186,10328
1874,8.1199,-0.0160,10328
1877,11.6895,-0.0990,10328
1879,11.6895,-0.1270,10328
1882,8.7868,-0.0529,10328
1884,7.1392,-0.1774,10328
1887,12.5133,-0.0434,10328
1890,11.3365,-0.0563,10328
1892,9.8459,0.0955,10328
1895,6.5116,0.0716,10328
1897,11.8464,0.1160,10328
1900,11.4542,0.1315,11280
1902,9.8851,-0.0102,11280
1905,7.1000,0.0026,11280
1907,10.0028,-0.1191,11280
1910,12.9056,-0.0272,11280
1912,9.7282,-0.1496,11280
1915,7.3354,-0.0113,11280
1917,9.0221,0.0279,11280
1920,9.4928,0.0337,11280
1922,9.1790,0.1033,11280
1925,7.3746,0.1070,11280
1927,12.5133,0.1742,11280
1930,11.3757,0.0875,11280
1932,8.3553,0.0798,11280
1935,8.2768,0.0570,11280
1938,11.6503,-0.0546,11280
1940,12.3956,-0.0384,11280
1943,8.7475,-0.1049,11280
1945,7.2177,0.0267,11280
1948,10.9834,-0.0418,11280
1950,12.1995,0.1019,11280
1953,9.3752,0.1509,11280
1955,7.2961,0.1108,11280
1958,10.8658,0.0820,11280
1960,11.0227,-0.0130,11280
1963,9.9636,0.0323,11280
1965,6.3939,-0.1383,11280
1968,11.6503,-0.0599,11280
1970,11.7680,-0.1297,11280
1973,10.0812,-0.1087,11280
1975,6.8647,-0.0602,11280
1978,9.9636,-0.0457,11280
1980,12.3564,0.1299,11280
1983,9.8459,0.0329,11280
1986,7.5315,0.1158,11280
1988,9.1398,0.0385,11280
1991,12.9840,0.0336,11280
1993,9.7282,-0.0764,11280
1996,8.2376,-0.0634,11280
1998,8.8652,-0.0419,11280
2001,13.2586,-0.1289,11280
2003,10.9050,-0.0381,11280
2006,8.2768,-0.0759,11280
2008,10.0812,0.1239,11280
2011,12.5917,0.0800,11280
2013,11.5326,0.1617,11280
2016,7.9630,0.1429,11280
2018,9.2967,0.0014,11280
2021,11.8072,0.0060,11280
2023,11.1404,-0.1182,11280
2026,7.4923,-0.0499,11280
2028,7.7669,-0.1474,11280
2031,12.3172,-0.0545,11280
2034,10.7089,0.0088,11280
2036,8.6299,0.0175,11280
2039,7.0608,0.0772,11280
2041,12.4741,0.0985,11280
2044,11.0619,0.1689,11280
2046,9.7674,0.0712,11280
2049,7.8061,0.1320,11280
2051,12.3956,0.0418,11280
2054,11.7288,-0.0348,11280
2056,9.1790,-0.0627,11280
2059,8.1591,-0.1119,11280
2061,11.2973,0.0045,11280
2064,12.5525,-0.0639,11280
2066,7.5707,0.0844,11280
2069,7.5707,0.1393,11280
2071,12.4741,0.1081,11280
2074,9.4144,0.0902,11280
2077,7.1000,-0.0264,11280
2079,11.3365,0.0307,11280
2082,12.3564,-0.1298,11280
2084,10.7089,-0.0461,11280
2087,7.3354,-0.1285,11280
2089,10.7089,-0.0744,11280
2092,11.0227,-0.0617,11280
2094,10.3950,0.0360,11280
2097,6.4724,0.1465,11280
2099,9.3359,0.0293,11280
2102,12.3564,0.0670,11280
2104,9.3752,-0.0657,11280
2107,7.2569,0.0189,11280
2109,8.2768,-0.1151,11280
2112,13.4155,-0.0394,11280
2114,10.0420,-0.0392,11280
2117,8.2376,-0.1154,11280
2119,8.3160,-0.0188,11280
2122,12.5133,-0.0772,11280
2125,10.8658,0.1176,11280
2127,8.1199,0.0714,11280
2130,8.2768,0.1596,11280
2132,11.2188,0.1280,11280
2135,11.5718,-0.0021,11280
2137,7.2569,-0.0296,11280
2140,7.6100,-0.1282,11280
2142,11.4542,-0.0539,11280
2145,11.7680,-0.1893,11280
2147,8.9437,-0.0398,11280
2150,6.6685,-0.0428,11760
2152,12.3956,0.0377,11760
2155,11.2580,0.0662,11760
2157,9.6105,0.0644,11760
2160,7.2177,0.1144,11760
2162,13.1409,0.0354,11760
2165,11.7288,0.0708,11760
2167,10.4343,-0.0265,11760
2170,7.1000,-0.1046,11760
2173,11.1796,-0.1155,11760
2175,12.3172,-0.1385,11760
2178,9.2183,-0.0103,11760
2180,7.6100,-0.0667,11760
2183,9.7674,0.0644,11760
2185,12.4348,0.0981,11760
2188,9.1790,0.1319,11760
2190,7.0608,0.0784,11760
2193,9.9636,0.0427,11760
2195,13.0232,0.0489,11760
2198,9.6890,-0.1059,11760
2200,6.9431,-0.0676,11760
2203,10.1989,-0.1663,11760
2205,11.6111,-0.0333,11760
2208,10.9834,-0.0503,11760
2210,6.2763,0.1149,11760
2213,9.1790,0.2070,11760
2215,10.3950,0.0769,11760
2218,7.1000,0.1152,11760
2221,8.6299,0.0041,11760
2223,12.1210,0.0657,11760
2226,9.6105,-0.0746,11760
2228,8.2768,-0.0102,11760
2231,8.3553,-0.0366,11760
2233,13.6509,-0.0799,11760
2236,10.3558,-0.0311,11760
2238,9.7674,-0.0367,11760
2241,8.1984,0.1363,11760
2243,12.3172,0.0383,11760
2246,11.3365,0.1066,11760
2248,8.0807,0.0131,11760
2251,8.0807,-0.0082,11760
2253,11.6503,-0.0885,11760
2256,11.9249,-0.1272,11760
2258,8.2376,-0.0576,11760
2261,7.8453,-0.1834,11760
2263,11.0227,-0.0400,11760
2266,11.8464,-0.0423,11760
2269,9.0221,0.0564,11760
2271,7.2961,0.0704,11760
2274,12.0818,0.0633,11760
2276,11.2973,0.1044,11760
2279,10.0028,-0.0228,11760
2281,6.8254,0.0096,11760
2284,11.1404,-0.1158,11760
2286,11.5326,-0.0440,11760
2289,9.6105,-0.1306,11760
2291,6.5901,-0.0422,11760
2294,9.7674,0.0108,11760
2296,12.0818,0.0022,11760
2299,9.3359,0.0811,11760
2301,7.4531,0.0927,11760
2304,8.4729,0.1627,11760
2306,13.2978,0.0842,11760
2309,9.1398,0.1359,11760
2311,8.0415,0.1131,11760
2314,8.2376,-0.0278,11760
2317,12.5133,-0.0084,11760
2319,10.2381,-0.0997,11760
2322,7.9630,0.0534,11760
2324,9.0221,-0.0087,11760
2327,12.1602,0.1314,11760
2329,11.2188,0.1831,11760
2332,7.2177,0.1395,11760
2334,8.3553,0.1097,11760
2337,11.3757,0.0124,11760
2339,11.2973,0.0532,11760
2342,7.7669,-0.1100,11760
2344,6.7077,-0.0404,11760
2347,12.0426,-0.1269,11760
2349,10.8265,-0.0743,11760
2352,9.8459,-0.0597,11760
2354,7.8061,-0.0080,11760
2357,13.1017,0.1411,11760
2359,11.8464,0.0391,11760
2362,10.5520,0.0936,11760
2365,11.4934,0.0059,11760
2367,11.6895,-0.0052,11760
2370,9.2183,-0.1003,11760
2372,7.8845,-0.1046,11760
2375,9.3752,-0.0743,11760
2377,12.5525,-0.1675,11760
2380,9.0221,-0.0683,11760
2382,7.4531,-0.1095,11760
2385,10.1989,0.0947,11760
2387,13.1017,0.0435,11760
2390,10.8658,0.1463,11760
2392,7.5315,0.1082,11760
2395,9.7674,-0.0091,11760
2397,12.7879,-0.0356,11760
2400,10.5520,-0.1241,11280
2402,6.3547,-0.0399,11280
2405,9.5321,-0.1638,11280
2407,11.4542,-0.0155,11280
2410,10.2774,0.0302,11280
2413,7.3746,0.0599,11280
2415,7.9238,0.1060,11280
2418,12.4348,0.1171,11280
2420,9.5713,0.1749,11280
2423,8.2376,0.0685,11280
2425,8.0415,0.1140,11280
2428,12.6310,0.0684,11280
2430,10.1989,0.0263,11280
2433,9.0221,-0.0271,11280
2435,7.6492,-0.0326,11280
2438,12.8271,0.0660,11280
2440,11.0619,-0.0051,11280
2443,8.5122,0.1220,11280
2445,8.6691,0.1496,11280
2448,11.4934,0.1614,11280
2450,12.3172,0.1191,11280
2453,9.2183,0.0237,11280
2455,7.5707,0.0654,11280
2458,11.5718,-0.1016,11280
2461,11.5718,-0.0515,11280
2463,9.1006,-0.1285,11280
2466,6.8647,-0.0855,11280
2468,11.6895,-0.0653,11280
2471,11.1796,0.0362,11280
2473,9.6890,0.1578,11280
2476,6.6685,0.0219,11280
2478,12.0033,0.0731,11280
2481,11.2580,-0.0200,11280
2483,10.1205,0.0460,11280
2486,6.9039,-0.0816,11280
2488,10.9442,-0.0423,11280
2491,11.8857,-0.0312,11280
2493,9.4536,-0.1132,11280
2496,7.5315,-0.0215,11280
2498,10.1205,-0.0723,11280
2501,12.6702,0.1073,11280
2504,9.0613,0.0823,11280
2506,7.4531,0.1244,11280
2509,9.1398,0.1328,11280
2511,12.4348,0.0105,11280
2514,6.3547,0.0117,11280
2516,6.4724,-0.1094,11280
2519,11.7288,-0.0183,11280
2521,10.1989,-0.1499,11280
2524,6.3547,-0.0213,11280
2526,9.3359,0.0049,11280
2529,11.4934,0.0332,11280
2531,10.4343,0.0885,11280
2534,6.4724,0.0951,11280
2536,8.5122,0.1457,11280
2539,11.8857,0.0542,11280
2541,9.5321,0.0985,11280
2544,8.8260,0.0363,11280
2546,8.4337,-0.0722,11280
2549,13.8470,-0.0677,11280
2552,9.7282,-0.1422,11280
2554,7.6492,0.0061,11280
2557,7.8845,-0.0495,11280
2559,12.1995,0.1104,11280
2562,10.5127,0.1999,11280
2564,8.3553,0.1205,11280
2567,8.9044,0.1111,11280
2569,11.9641,-0.0086,11280
2572,11.2973,0.0380,11280
2574,7.2177,-0.1158,11280
2577,8.5514,-0.0348,11280
2579,11.2973,-0.1012,11280
2582,10.9442,-0.0969,11280
2584,7.9630,-0.0750,11280
2587,7.7669,-0.0459,11280
2589,12.9448,0.1154,11280
2592,11.0227,0.0193,11280
2594,8.6691,0.1048,11280
2597,7.5707,0.0364,11280
2600,12.9056,-0.0473,11280
2602,11.1404,-0.0909,11280
2605,10.0812,-0.1777,11280
2607,7.3746,-0.0914,11280
2610,11.7288,-0.2205,11280
2612,10.7481,-0.0768,11280
2615,8.1984,-0.0840,11280
2617,8.1591,0.0347,11280
2620,10.9442,0.0519,11280
2622,11.7680,0.0633,11280
2625,7.8845,0.1161,11280
2627,6.9039,0.0087,11280
2630,10.5127,0.0403,11280
2632,11.8464,-0.0302,11280
2635,9.3752,-0.0313,11280
2637,7.6492,-0.0957,11280
2640,11.8464,-0.0609,11280
2642,11.7680,0.0315,11280
2645,10.4343,-0.0175,11280
2648,6.5508,0.1010,11280
2650,11.3365,0.1358,14160
2653,11.1011,0.1385,14160
2655,9.8067,0.0983,14160
2658,6.9039,0.0230,14160
# fs=395.8 rpm=12262
timestamp_ms,az,current_A,rpm
2804,12.7094,0.0250,0
2806,9.4928,0.0391,0
2809,7.8061,-0.0626,0
2811,10.7089,0.0039,0
2814,11.6111,-0.0546,0
2816,10.3950,0.1263,0
2819,7.0608,0.0670,0
2821,11.3757,0.1631,0
2824,11.1011,0.1192,0
2826,9.8067,0.0147,0
2829,6.9039,-0.0318,0
2831,9.9243,-0.1124,0
2834,12.6310,-0.0300,0
2836,9.4536,-0.1703,0
2839,7.0608,-0.0145,0
2841,9.2575,-0.0108,0
2844,12.5917,0.0348,0
2846,9.2575,0.0749,0
2849,8.7475,0.0848,0
2851,13.4155,0.1383,0
2854,9.7674,0.0446,0
2857,7.9238,0.1054,0
2859,9.6105,0.0428,0
2862,12.2779,-0.0248,0
2864,11.2580,-0.0568,0
2867,7.4138,-0.0762,0
